trends_only,spotify_only,nyt_only,spotify_trends,spotify_nyt,nyt_trends,spotify_nyt_trends,zero_rule,one_month_trailing_average
3.3836023807525635,0.803476870059967,0.7151908874511719,0.9121198654174805,0.7967743277549744,0.8372859954833984,0.5611854195594788,5.431384367197832,4.747133929762955
2.292747974395752,0.9711921215057373,1.0104243755340576,1.4121553897857666,0.6552734375,0.6929157972335815,0.7525597214698792,5.649417871819024,4.762197005368131
5.108796119689941,0.8723198175430298,0.6785183548927307,0.6694596409797668,0.601799726486206,0.7841874957084656,0.7527137994766235,5.450733389022241,4.534571597219883
4.041407585144043,0.8683605194091797,0.7028985023498535,0.7891484498977661,0.7117488384246826,1.7915598154067993,0.6722275018692017,5.089193379279366,4.455389186035779
3.4421703815460205,1.0466578006744385,0.6547846794128418,0.9236095547676086,0.6960136890411377,0.9014511704444885,0.6251426339149475,5.238962178810727,4.396380092966753
2.3537731170654297,1.353495717048645,0.9073166847229004,2.1571714878082275,0.5359557271003723,0.6905932426452637,0.7612690329551697,5.165046588131015,4.605615675769089
2.3060450553894043,1.135403037071228,0.8991879224777222,1.3111547231674194,0.7394702434539795,0.7672225832939148,0.6632739901542664,5.175296378844191,4.681940118197737
2.8475162982940674,1.0539777278900146,0.7851834893226624,0.807766854763031,0.6674529314041138,0.611079216003418,1.2581113576889038,5.7042633200863815,4.408534666039477
2.1891531944274902,0.884120523929596,0.7287085652351379,0.8898144364356995,0.5994927883148193,0.7052356004714966,0.706888735294342,5.4332678122086815,4.626594183910852
2.260413646697998,0.9700599312782288,1.2101279497146606,0.8778582811355591,0.6184087991714478,0.6438968181610107,0.7192904353141785,5.305169951756535,4.739392870322042
