,trends_only,spotify_only,nyt_only,spotify_trends,spotify_nyt,nyt_trends,spotify_nyt_trends,zero_rule,one_month_trailing_average
0,4.111114978790283,1.1193238496780396,1.583583950996399,1.3350762128829956,1.0665658712387085,0.7183982729911804,0.897210419178009,9.725619630797986,4.3950353649231975
1,3.2919089794158936,1.0513795614242554,1.1938062906265259,1.2071301937103271,0.9039149880409241,1.0657509565353394,1.078249216079712,8.9765768629313,4.373375404718431
2,2.799516201019287,0.9332337379455566,0.9454920291900635,0.9217346906661987,1.0921469926834106,0.8762666583061218,0.732256293296814,9.170772610096357,4.233227860120674
3,9.275324821472168,1.1066391468048096,1.0271835327148438,0.9920276403427124,0.7201411128044128,0.8989529609680176,1.0947636365890503,9.297101381201589,3.8333599967518066
4,2.9645090103149414,1.2755423784255981,0.906593382358551,1.3460451364517212,1.4909088611602783,0.7688601613044739,1.1073849201202393,9.099645161919934,4.088916568585587
5,2.7442851066589355,1.1344307661056519,1.0285552740097046,1.1503859758377075,0.9997825026512146,1.0309611558914185,0.6355817914009094,9.463711237484942,3.972164213977098
6,2.701343536376953,0.9569833278656006,0.7375785112380981,1.019418716430664,0.970923900604248,1.037309169769287,0.8993378281593323,9.523574396635706,3.7238540547104177
7,2.75646710395813,1.256683111190796,0.9535598754882812,0.8349117040634155,1.014386773109436,0.84513258934021,0.7228235006332397,8.873466756782864,4.111008832402917
8,2.4295315742492676,0.9057430028915405,0.7771515250205994,0.9979742765426636,0.8742372989654541,0.6819015741348267,0.6333840489387512,9.052354214643824,3.9386403596568678
9,3.3321707248687744,1.4896501302719116,0.7429925203323364,1.3301337957382202,0.8214179277420044,0.9024201035499573,0.8598960041999817,9.16124581584796,4.310071781981797
