Position,"Track Name",Artist,URL
1,Sucker,"Jonas Brothers",https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO
2,Undrunk,FLETCHER,https://open.spotify.com/track/5SHhPFh68OhUmuRPymKX9d
3,Moonlight,Gaullin,https://open.spotify.com/track/0A5gdlrpAuQqZ2iFgnqBFW
4,Rebota,Guaynaa,https://open.spotify.com/track/2YRvdf9cdS88y1wB1WhKoE
5,"I Can Handle It","Steven Furtick",https://open.spotify.com/track/5DAtv6EBqin4Rl7q7sUyCQ
6,CROWN,"TOMORROW X TOGETHER",https://open.spotify.com/track/32h6yQGn4oAhZ0HRsTMX26
7,"Act Up","City Girls",https://open.spotify.com/track/4eIT2gZ0WZyJpgfmoD6saJ
8,"Pa Mí - Remix",Dalex,https://open.spotify.com/track/224EVTFiLsdQignUFLvDeH
9,"Boasty (feat. Idris Elba)",Wiley,https://open.spotify.com/track/7cz506PyIgh2bMN90Mc8Tn
10,"Worth It","YK Osiris",https://open.spotify.com/track/4XiGKQqbmnMVxDzUj6j3f2
11,"Talkin' My Shit","Quin Nfn",https://open.spotify.com/track/1H4pOx4uI7BdxM2RL3D99f
12,"wish you were gay","Billie Eilish",https://open.spotify.com/track/4txc3txsIt81diMzGhrVPS
13,"Pop Out (feat. Lil Tjay)","Polo G",https://open.spotify.com/track/5AjINjwKyRvQJhSe2zpPHi
14,Dissolve,Absofacto,https://open.spotify.com/track/7pBrj5rt4SSxXwFKOyZfHR
15,"Mixed Personalities (feat. Kanye West)","YNW Melly",https://open.spotify.com/track/6vWEAOUSxohKxhp0K1BsxL
16,I,"Lil Skies",https://open.spotify.com/track/4ZT9FnbFu1PaBfV3itxiqT
17,"Murder On My Mind","YNW Melly",https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
18,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)","benny blanco",https://open.spotify.com/track/1WSGTYKLEpKfNQYYW5Oymt
19,"it's not u it's me","Bea Miller",https://open.spotify.com/track/7cLm450e9XaPrEZTSTsfwU
20,"Shotta Flow","NLE Choppa",https://open.spotify.com/track/4dAMdQ6g4kGmnc1MDHsg77
21,"Big Ole Freak","Megan Thee Stallion",https://open.spotify.com/track/3YEbLhXRDPTtctnb3ddg8g
22,HP,Maluma,https://open.spotify.com/track/31UjYv5vLsDkzchJOtUMtW
23,"Con Calma","Daddy Yankee",https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
24,"Freak Nasty","Megan Thee Stallion",https://open.spotify.com/track/4rd4bY5IzC4AN6NdgYGtWD
25,"Si Se Da","Myke Towers",https://open.spotify.com/track/5KbBGUpIZd6gVFUU8tqYiQ
26,"MIDDLE CHILD","J. Cole",https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
27,"Pure Water (with Migos)",Mustard,https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp
28,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
29,Wannabe,"why mona",https://open.spotify.com/track/6SQZ3rR7kNord3KYrom49J
30,EX,"Kiana Ledé",https://open.spotify.com/track/47cQCF21TczFSmGfpd7c07
31,"Sandstorm (feat. JID)",Mereba,https://open.spotify.com/track/1NlWBpNYAnFT7gMGyC0Y1M
32,Juice,Lizzo,https://open.spotify.com/track/0onslUNmSLDkuYaideYWir
33,Suge,DaBaby,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
34,"Tia Tamera (feat. Rico Nasty)","Doja Cat",https://open.spotify.com/track/1uNePI826aqh9uC9pgbeHU
35,"Faucet Failure","Ski Mask The Slump God",https://open.spotify.com/track/1ThmUihH9dF8EV08ku5AXN
36,"Don't Call Me Up",Mabel,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
37,Buttercup,"Jack Stauber",https://open.spotify.com/track/2mlGPkAx4kwF8Df0GlScsC
38,Nobody,"Martin Jensen",https://open.spotify.com/track/2qfEcCkEo5NscA9GL7ER72
39,"Dancin (feat. Luvli) - Krono Remix","Aaron Smith",https://open.spotify.com/track/6WkJ2OK163XXS2oARUC9JM
40,"Cat & Dog","TOMORROW X TOGETHER",https://open.spotify.com/track/5cadLqAgl7Y9zX3lRWdsPK
41,"Envy Me",Calboy,https://open.spotify.com/track/05t7JMip6JrLuSrMV5yYjX
42,VALENTINO,24kGoldn,https://open.spotify.com/track/0c7K73roy6RW4ebDkf4yGh
43,"Shotta Flow 2","NLE Choppa",https://open.spotify.com/track/6oV5zsbz9V2nZ79PYam9yC
44,"Grow As We Go","Ben Platt",https://open.spotify.com/track/3N2ppgHelZPCpPVmVsxr9J
45,"Bola Rebola",Tropkillaz,https://open.spotify.com/track/1OUPXna2MCgAt3VNmXJBtg
46,"Look What God Gave Her","Thomas Rhett",https://open.spotify.com/track/1HY7Ze0NWqDJkl4g4MV62Q
47,"Blue Orangeade","TOMORROW X TOGETHER",https://open.spotify.com/track/7C31PdvTuSvEFqn2sKISsX
48,"Esclavo de Tus Besos","Manuel Turizo",https://open.spotify.com/track/3g4UyIcQwutiG0TfW32GnX
49,"Boys Will Be Bugs",Cavetown,https://open.spotify.com/track/67EUBsc4qosGOVbaYy6TeX
50,"Goin Baby",DaBaby,https://open.spotify.com/track/3WyRgi8CzQnhzO0xw79tTS
